"Pincode","State","District","Hospitalized","Deceased","Recovered"
413529,"MH","Latur",8,0,0
413581,"MH","Latur",8,0,0
413532,"MH","Latur",8,0,0
413530,"MH","Latur",8,0,0
413582,"MH","Latur",8,0,0
413607,"MH","Latur",8,0,0
416610,"MH","Sindhudurg",1,0,0
416704,"MH","Sindhudurg",1,0,0
413517,"MH","Latur",8,0,0
413531,"MH","Latur",8,0,0
416604,"MH","Sindhudurg",1,0,0
412109,"MH","Pune",101,0,2
416608,"MH","Sindhudurg",1,0,0
416514,"MH","Sindhudurg",1,0,0
431106,"MH","Aurangabad",5,0,0
416114,"MH","Kolhapur",2,0,0
416601,"MH","Sindhudurg",1,0,0
416803,"MH","Sindhudurg",1,0,0
416605,"MH","Sindhudurg",1,0,0
416611,"MH","Sindhudurg",1,0,0
416804,"MH","Sindhudurg",1,0,0
416523,"MH","Sindhudurg",1,0,0
416632,"MH","Sindhudurg",1,0,0
423303,"MH","Nashik",1,0,0
416614,"MH","Sindhudurg",1,0,0
413114,"MH","Pune",101,0,2
400003,"MH","Mumbai",404,2,0
416004,"MH","Kolhapur",2,0,0
422101,"MH","Nashik",1,0,0
422213,"MH","Nashik",1,0,0
422105,"MH","Nashik",1,0,0
412216,"MH","Pune",101,0,2
412206,"MH","Pune",101,0,2
411025,"MH","Pune",101,0,2
411044,"MH","Pune",101,0,2
422502,"MH","Nashik",1,0,0
412213,"MH","Pune",101,0,2
412405,"MH","Pune",101,0,2
411048,"MH","Pune",101,0,2
431151,"MH","Aurangabad",5,0,0
431121,"MH","Aurangabad",5,0,0
431132,"MH","Aurangabad",5,0,0
431002,"MH","Aurangabad",5,0,0
424107,"MH","Jalgaon",2,0,0
425301,"MH","Jalgaon",2,0,0
425114,"MH","Jalgaon",2,0,0
424105,"MH","Jalgaon",2,0,0
425105,"MH","Jalgaon",2,0,0
416709,"MH","Ratnagiri",2,0,0
411047,"MH","Pune",101,0,2
411017,"MH","Pune",101,0,2
400015,"MH","Mumbai",404,2,0
431105,"MH","Aurangabad",5,0,0
425113,"MH","Jalgaon",2,0,0
444708,"MH","Amravati",1,0,0
431136,"MH","Aurangabad",5,0,0
431111,"MH","Aurangabad",5,0,0
416705,"MH","Ratnagiri",2,0,0
415804,"MH","Ratnagiri",2,0,0
415615,"MH","Ratnagiri",2,0,0
415643,"MH","Ratnagiri",2,0,0
444704,"MH","Amravati",1,0,0
415203,"MH","Ratnagiri",2,0,0
416518,"MH","Sindhudurg",1,0,0
444806,"MH","Amravati",1,0,0
415103,"MH","Satara",3,0,0
412210,"MH","Pune",101,0,2
422013,"MH","Nashik",1,0,0
415112,"MH","Satara",3,0,0
444603,"MH","Amravati",1,0,0
444902,"MH","Amravati",1,0,0
413521,"MH","Osmanabad",3,0,0
444503,"MH","Washim",1,0,0
413529,"MH","Osmanabad",3,0,0
425310,"MH","Jalgaon",2,0,0
413509,"MH","Osmanabad",3,0,0
400606,"MH","Thane",77,0,0
421306,"MH","Thane",77,0,0
400610,"MH","Thane",77,0,0
400607,"MH","Thane",77,0,0
413534,"MH","Osmanabad",3,0,0
413608,"MH","Osmanabad",3,0,0
413581,"MH","Osmanabad",3,0,0
415403,"MH","Sangli",25,0,0
411001,"MH","Pune",101,0,2
445305,"MH","Yavatmal",4,0,0
416412,"MH","Sangli",25,0,0
400058,"MH","Mumbai",404,2,0
415409,"MH","Sangli",25,0,0
400072,"MH","Mumbai",404,2,0
444810,"MH","Amravati",1,0,0
416512,"MH","Sindhudurg",1,0,0
444606,"MH","Amravati",1,0,0
411031,"MH","Pune",101,0,2
431134,"MH","Aurangabad",5,0,0
411002,"MH","Pune",101,0,2
410509,"MH","Pune",101,0,2
421501,"MH","Thane",77,0,0
411018,"MH","Pune",101,0,2
411015,"MH","Pune",101,0,2
400601,"MH","Thane",77,0,0
422308,"MH","Nashik",1,0,0
423213,"MH","Nashik",1,0,0
422007,"MH","Nashik",1,0,0
411040,"MH","Pune",101,0,2
416012,"MH","Kolhapur",2,0,0
400076,"MH","Mumbai",404,2,0
415525,"MH","Satara",3,0,0
400004,"MH","Mumbai",404,2,0
400079,"MH","Mumbai",404,2,0
400099,"MH","Mumbai",404,2,0
421603,"MH","Thane",77,0,0
400067,"MH","Mumbai",404,2,0
401303,"MH","Thane",77,0,0
401501,"MH","Thane",77,0,0
421101,"MH","Thane",77,0,0
401304,"MH","Thane",77,0,0
401404,"MH","Thane",77,0,0
421308,"MH","Thane",77,0,0
401608,"MH","Thane",77,0,0
401602,"MH","Thane",77,0,0
401103,"MH","Thane",77,0,0
416521,"MH","Sindhudurg",1,0,0
416626,"MH","Sindhudurg",1,0,0
416511,"MH","Sindhudurg",1,0,0
416603,"MH","Sindhudurg",1,0,0
416519,"MH","Sindhudurg",1,0,0
416501,"MH","Kolhapur",2,0,0
416219,"MH","Kolhapur",2,0,0
416506,"MH","Kolhapur",2,0,0
416502,"MH","Kolhapur",2,0,0
416812,"MH","Sindhudurg",1,0,0
416620,"MH","Sindhudurg",1,0,0
416801,"MH","Sindhudurg",1,0,0
444807,"MH","Amravati",1,0,0
413110,"MH","Pune",101,0,2
416529,"MH","Sindhudurg",1,0,0
416606,"MH","Sindhudurg",1,0,0
416616,"MH","Sindhudurg",1,0,0
425502,"MH","Jalgaon",2,0,0
425103,"MH","Jalgaon",2,0,0
416118,"MH","Kolhapur",2,0,0
416551,"MH","Kolhapur",2,0,0
416120,"MH","Kolhapur",2,0,0
416206,"MH","Kolhapur",2,0,0
416214,"MH","Kolhapur",2,0,0
416515,"MH","Sindhudurg",1,0,0
431542,"MH","Hingoli",1,0,0
416811,"MH","Sindhudurg",1,0,0
416628,"MH","Sindhudurg",1,0,0
412312,"MH","Pune",101,0,2
412408,"MH","Pune",101,0,2
416107,"MH","Kolhapur",2,0,0
416001,"MH","Kolhapur",2,0,0
416223,"MH","Kolhapur",2,0,0
416121,"MH","Kolhapur",2,0,0
410501,"MH","Pune",101,0,2
411046,"MH","Pune",101,0,2
412112,"MH","Pune",101,0,2
425306,"MH","Jalgaon",2,0,0
416813,"MH","Sindhudurg",1,0,0
416623,"MH","Sindhudurg",1,0,0
411021,"MH","Pune",101,0,2
412311,"MH","Pune",101,0,2
431005,"MH","Aurangabad",5,0,0
431103,"MH","Aurangabad",5,0,0
431107,"MH","Aurangabad",5,0,0
431112,"MH","Aurangabad",5,0,0
431010,"MH","Aurangabad",5,0,0
411060,"MH","Pune",101,0,2
416201,"MH","Kolhapur",2,0,0
401201,"MH","Thane",77,0,0
444903,"MH","Amravati",1,0,0
400703,"MH","Thane",77,0,0
415304,"MH","Sangli",25,0,0
401102,"MH","Thane",77,0,0
410508,"MH","Pune",101,0,2
413801,"MH","Pune",101,0,2
431004,"MH","Aurangabad",5,0,0
423208,"MH","Nashik",1,0,0
400612,"MH","Thane",77,0,0
425327,"MH","Jalgaon",2,0,0
415620,"MH","Ratnagiri",2,0,0
415709,"MH","Ratnagiri",2,0,0
415536,"MH","Satara",3,0,0
415605,"MH","Ratnagiri",2,0,0
425308,"MH","Jalgaon",2,0,0
416525,"MH","Sindhudurg",1,0,0
444507,"MH","Washim",1,0,0
444719,"MH","Amravati",1,0,0
444601,"MH","Amravati",1,0,0
424108,"MH","Jalgaon",2,0,0
415728,"MH","Ratnagiri",2,0,0
424202,"MH","Jalgaon",2,0,0
444409,"MH","Washim",1,0,0
444106,"MH","Washim",1,0,0
400602,"MH","Thane",77,0,0
415311,"MH","Sangli",25,0,0
416314,"MH","Sangli",25,0,0
416408,"MH","Sangli",25,0,0
416403,"MH","Sangli",25,0,0
401402,"MH","Thane",77,0,0
421002,"MH","Thane",77,0,0
401301,"MH","Thane",77,0,0
411038,"MH","Pune",101,0,2
445002,"MH","Yavatmal",4,0,0
416115,"MH","Kolhapur",2,0,0
413102,"MH","Pune",101,0,2
415303,"MH","Sangli",25,0,0
411057,"MH","Pune",101,0,2
442302,"MH","Amravati",1,0,0
416522,"MH","Sindhudurg",1,0,0
416806,"MH","Sindhudurg",1,0,0
401503,"MH","Thane",77,0,0
416409,"MH","Sangli",25,0,0
416549,"MH","Sindhudurg",1,0,0
444804,"MH","Amravati",1,0,0
421403,"MH","Thane",77,0,0
416308,"MH","Sangli",25,0,0
410405,"MH","Pune",101,0,2
431115,"MH","Aurangabad",5,0,0
416301,"MH","Sangli",25,0,0
401202,"MH","Thane",77,0,0
401605,"MH","Thane",77,0,0
421302,"MH","Thane",77,0,0
423205,"MH","Nashik",1,0,0
400014,"MH","Mumbai",404,2,0
431705,"MH","Hingoli",1,0,0
416406,"MH","Sangli",25,0,0
431501,"MH","Hingoli",1,0,0
431703,"MH","Hingoli",1,0,0
431701,"MH","Hingoli",1,0,0
416216,"MH","Kolhapur",2,0,0
401606,"MH","Thane",77,0,0
416702,"MH","Ratnagiri",2,0,0
416602,"MH","Sindhudurg",1,0,0
416805,"MH","Sindhudurg",1,0,0
421506,"MH","Thane",77,0,0
401208,"MH","Thane",77,0,0
413524,"MH","Latur",8,0,0
413510,"MH","Latur",8,0,0
413511,"MH","Latur",8,0,0
413522,"MH","Latur",8,0,0
416109,"MH","Kolhapur",2,0,0
416527,"MH","Kolhapur",2,0,0
416143,"MH","Kolhapur",2,0,0
400710,"MH","Thane",77,0,0
416102,"MH","Kolhapur",2,0,0
415714,"MH","Ratnagiri",2,0,0
415717,"MH","Ratnagiri",2,0,0
416005,"MH","Kolhapur",2,0,0
421203,"MH","Thane",77,0,0
416315,"MH","Sangli",25,0,0
445323,"MH","Yavatmal",4,0,0
416221,"MH","Kolhapur",2,0,0
421102,"MH","Thane",77,0,0
416415,"MH","Sangli",25,0,0
400608,"MH","Thane",77,0,0
415412,"MH","Sangli",25,0,0
445201,"MH","Yavatmal",4,0,0
421201,"MH","Thane",77,0,0
431110,"MH","Aurangabad",5,0,0
431117,"MH","Aurangabad",5,0,0
425004,"MH","Jalgaon",2,0,0
425504,"MH","Jalgaon",2,0,0
413501,"MH","Osmanabad",3,0,0
425111,"MH","Jalgaon",2,0,0
416528,"MH","Sindhudurg",1,0,0
416503,"MH","Kolhapur",2,0,0
416211,"MH","Kolhapur",2,0,0
416235,"MH","Kolhapur",2,0,0
416552,"MH","Kolhapur",2,0,0
415634,"MH","Ratnagiri",2,0,0
424205,"MH","Jalgaon",2,0,0
415715,"MH","Satara",3,0,0
413525,"MH","Osmanabad",3,0,0
444403,"MH","Washim",1,0,0
416203,"MH","Kolhapur",2,0,0
416220,"MH","Kolhapur",2,0,0
416202,"MH","Kolhapur",2,0,0
445110,"MH","Yavatmal",4,0,0
416112,"MH","Kolhapur",2,0,0
416116,"MH","Kolhapur",2,0,0
416231,"MH","Kolhapur",2,0,0
416215,"MH","Kolhapur",2,0,0
411008,"MH","Pune",101,0,2
416613,"MH","Sindhudurg",1,0,0
421602,"MH","Thane",77,0,0
445102,"MH","Yavatmal",4,0,0
410506,"MH","Pune",101,0,2
445210,"MH","Yavatmal",4,0,0
416703,"MH","Sindhudurg",1,0,0
411051,"MH","Pune",101,0,2
421303,"MH","Thane",77,0,0
425303,"MH","Jalgaon",2,0,0
413132,"MH","Pune",101,0,2
416417,"MH","Sangli",25,0,0
412110,"MH","Pune",101,0,2
415310,"MH","Sangli",25,0,0
411019,"MH","Pune",101,0,2
445216,"MH","Yavatmal",4,0,0
416306,"MH","Sangli",25,0,0
410403,"MH","Pune",101,0,2
415302,"MH","Sangli",25,0,0
415308,"MH","Sangli",25,0,0
416526,"MH","Kolhapur",2,0,0
412406,"MH","Pune",101,0,2
415405,"MH","Sangli",25,0,0
444105,"MH","Washim",1,0,0
415710,"MH","Ratnagiri",2,0,0
415614,"MH","Ratnagiri",2,0,0
416704,"MH","Ratnagiri",2,0,0
401506,"MH","Thane",77,0,0
425503,"MH","Jalgaon",2,0,0
415509,"MH","Satara",3,0,0
413523,"MH","Osmanabad",3,0,0
415518,"MH","Satara",3,0,0
412308,"MH","Pune",101,0,2
445105,"MH","Yavatmal",4,0,0
416630,"MH","Sindhudurg",1,0,0
431008,"MH","Aurangabad",5,0,0
412201,"MH","Pune",101,0,2
415402,"MH","Sangli",25,0,0
416313,"MH","Sangli",25,0,0
415401,"MH","Sangli",25,0,0
445304,"MH","Yavatmal",4,0,0
416103,"MH","Kolhapur",2,0,0
411036,"MH","Pune",101,0,2
410502,"MH","Pune",101,0,2
413133,"MH","Pune",101,0,2
411013,"MH","Pune",101,0,2
416113,"MH","Kolhapur",2,0,0
413510,"MH","Osmanabad",3,0,0
416550,"MH","Sindhudurg",1,0,0
416509,"MH","Kolhapur",2,0,0
412306,"MH","Pune",101,0,2
445203,"MH","Yavatmal",4,0,0
412307,"MH","Pune",101,0,2
445001,"MH","Yavatmal",4,0,0
412404,"MH","Pune",101,0,2
445211,"MH","Yavatmal",4,0,0
411007,"MH","Pune",101,0,2
445230,"MH","Yavatmal",4,0,0
410401,"MH","Pune",101,0,2
413531,"MH","Osmanabad",3,0,0
416534,"MH","Sindhudurg",1,0,0
410301,"MH","Pune",101,0,2
421601,"MH","Thane",77,0,0
415413,"MH","Sangli",25,0,0
431513,"MH","Hingoli",1,0,0
416418,"MH","Sangli",25,0,0
401702,"MH","Thane",77,0,0
425101,"MH","Jalgaon",2,0,0
415207,"MH","Satara",3,0,0
425201,"MH","Jalgaon",2,0,0
431522,"MH","Osmanabad",3,0,0
415122,"MH","Satara",3,0,0
412204,"MH","Pune",101,0,2
416520,"MH","Sindhudurg",1,0,0
445401,"MH","Yavatmal",4,0,0
415306,"MH","Sangli",25,0,0
416106,"MH","Kolhapur",2,0,0
413512,"MH","Latur",8,0,0
416213,"MH","Kolhapur",2,0,0
416609,"MH","Sindhudurg",1,0,0
416517,"MH","Sindhudurg",1,0,0
445303,"MH","Yavatmal",4,0,0
445103,"MH","Yavatmal",4,0,0
416105,"MH","Kolhapur",2,0,0
416101,"MH","Kolhapur",2,0,0
445209,"MH","Yavatmal",4,0,0
410513,"MH","Pune",101,0,2
413516,"MH","Osmanabad",3,0,0
